Samples,Amplitude(mV)
0,0.199805
1,0.199805
2,0.199805
3,0.199805
4,0.196582
5,0.193359
6,0.193359
7,0.190137
8,0.190137
9,0.190137
10,0.183691
11,0.183691
12,0.183691
13,0.180469
14,0.180469
15,0.180469
16,0.177246
17,0.177246
18,0.177246
19,0.177246
20,0.174023
21,0.174023
22,0.170801
23,0.170801
24,0.167578
25,0.164355
26,0.164355
27,0.161133
28,0.161133
29,0.15791
30,0.151465
31,0.151465
32,0.151465
33,0.151465
34,0.154687
35,0.151465
36,0.148242
37,0.14502
38,0.14502
39,0.14502
40,0.141797
41,0.141797
42,0.138574
43,0.138574
44,0.132129
45,0.132129
46,0.128906
47,0.132129
48,0.132129
49,0.128906
50,0.125684
51,0.128906
52,0.132129
53,0.132129
54,0.135352
55,0.141797
56,0.14502
57,0.154687
58,0.161133
59,0.167578
60,0.177246
61,0.186914
62,0.193359
63,0.20625
64,0.209473
65,0.219141
66,0.225586
67,0.235254
68,0.241699
69,0.248145
70,0.248145
71,0.248145
72,0.25459
73,0.257812
74,0.264258
75,0.270703
76,0.26748
77,0.270703
78,0.26748
79,0.270703
80,0.273926
81,0.277148
82,0.277148
83,0.273926
84,0.277148
85,0.277148
86,0.277148
87,0.277148
88,0.280371
89,0.283594
90,0.280371
91,0.283594
92,0.283594
93,0.286816
94,0.290039
95,0.286816
96,0.286816
97,0.286816
98,0.286816
99,0.290039
100,0.286816
101,0.286816
102,0.286816
103,0.286816
104,0.277148
105,0.280371
106,0.280371
107,0.280371
108,0.280371
109,0.277148
110,0.280371
111,0.277148
112,0.273926
113,0.273926
114,0.273926
115,0.277148
116,0.273926
117,0.270703
118,0.270703
119,0.26748
120,0.26748
121,0.264258
122,0.261035
123,0.261035
124,0.261035
125,0.261035
126,0.257812
127,0.25459
128,0.251367
129,0.251367
130,0.25459
131,0.248145
132,0.248145
133,0.251367
134,0.248145
135,0.248145
136,0.244922
137,0.244922
138,0.244922
139,0.244922
140,0.244922
141,0.241699
142,0.241699
143,0.244922
144,0.244922
145,0.244922
146,0.238477
147,0.238477
148,0.241699
149,0.244922
150,0.241699
151,0.235254
152,0.235254
153,0.235254
154,0.241699
155,0.241699
156,0.238477
157,0.235254
158,0.238477
159,0.238477
160,0.235254
161,0.235254
162,0.228809
163,0.232031
164,0.232031
165,0.232031
166,0.232031
167,0.222363
168,0.222363
169,0.228809
170,0.232031
171,0.228809
172,0.232031
173,0.228809
174,0.228809
175,0.225586
176,0.228809
177,0.225586
178,0.222363
179,0.219141
180,0.219141
181,0.219141
182,0.215918
183,0.212695
184,0.212695
185,0.212695
186,0.209473
187,0.209473
188,0.209473
189,0.20625
190,0.209473
191,0.203027
192,0.203027
193,0.203027
194,0.203027
195,0.199805
196,0.199805
197,0.196582
198,0.196582
199,0.193359
200,0.196582
201,0.196582
202,0.193359
203,0.190137
204,0.190137
205,0.186914
206,0.183691
207,0.183691
208,0.183691
209,0.186914
210,0.183691
211,0.177246
212,0.174023
213,0.174023
214,0.177246
215,0.174023
216,0.174023
217,0.170801
218,0.174023
219,0.174023
220,0.170801
221,0.170801
222,0.170801
223,0.167578
224,0.164355
225,0.164355
226,0.164355
227,0.164355
228,0.164355
229,0.161133
230,0.15791
231,0.161133
232,0.15791
233,0.154687
234,0.154687
235,0.148242
236,0.148242
237,0.14502
238,0.148242
239,0.148242
240,0.14502
241,0.14502
242,0.138574
243,0.141797
244,0.141797
245,0.141797
246,0.141797
247,0.141797
248,0.14502
249,0.14502
250,0.151465
251,0.151465
252,0.15791
253,0.167578
254,0.170801
255,0.180469
256,0.183691
257,0.193359
258,0.203027
