Samples,Amplitude(mm)
0,5.84723
1,5.8376
2,5.82798
3,5.80873
4,5.78948
5,5.7991
6,5.86648
7,5.98198
8,6.1071
9,6.2996
10,6.38623
11,6.3766
12,6.3381
13,6.3381
14,6.35735
15,6.3766
16,6.4151
17,6.39585
18,6.3381
19,6.28998
20,6.27073
21,6.28035
22,6.28035
23,6.27073
24,6.24185
25,6.19373
26,6.16485
27,6.13598
28,6.09748
29,6.05898
30,6.03973
31,6.02048
32,5.98198
33,5.94348
34,5.92423
35,5.90498
36,5.8761
37,5.84723
38,5.8376
39,5.82798
40,5.97235
41,6.0686
42,6.24185
43,6.34773
44,6.35735
45,6.32848
46,6.31885
47,6.31885
48,6.31885
49,6.31885
50,6.27073
51,6.19373
52,6.1456
53,6.13598
54,6.12635
55,6.11673
56,6.08785
57,6.05898
58,6.02048
59,5.98198
60,5.9531
61,5.92423
62,5.90498
63,5.8761
64,5.84723
65,5.81835
66,5.78948
67,5.77985
68,5.77023
69,5.75098
70,5.73173
71,5.70285
72,5.67398
73,5.67398
74,5.73173
75,5.86648
76,5.97235
77,6.16485
78,6.2611
79,6.27073
80,6.24185
81,6.2226
82,6.2226
83,6.25148
84,6.2611
85,6.2226
86,6.16485
87,6.12635
88,6.08785
89,6.08785
90,6.07823
91,6.05898
92,6.02048
93,5.9916
94,5.9531
95,5.9146
96,5.89535
97,5.86648
98,5.82798
99,5.80873
100,5.7991
101,5.78948
102,5.77023
103,5.7606
104,5.75098
105,5.73173
106,5.71248
107,5.6836
108,5.66435
109,5.67398
110,5.7991
111,5.89535
112,6.04935
113,6.24185
114,6.2996
115,6.27073
116,6.24185
117,6.2226
118,6.24185
119,6.28035
120,6.2996
121,6.24185
122,6.19373
123,6.17448
124,6.16485
125,6.16485
126,6.16485
127,6.15523
128,6.11673
129,6.08785
130,6.05898
131,6.0301
132,5.9916
133,5.9531
134,5.93385
135,5.9146
136,5.90498
137,5.89535
138,5.8761
139,5.86648
140,5.84723
141,5.8376
142,5.81835
143,5.7991
144,5.84723
145,5.96273
146,6.07823
147,6.28035
148,6.31885
149,6.28998
150,6.23223
151,6.21298
152,6.2226
153,6.2226
154,6.20335
155,6.16485
156,6.1456
157,6.12635
158,6.12635
159,6.13598
160,6.11673
161,6.07823
162,6.03973
163,6.01085
164,5.96273
165,5.9146
166,5.89535
167,5.8761
168,5.8376
169,5.80873
170,5.77985
171,5.7606
172,5.75098
173,5.7221
174,5.69323
175,5.69323
176,5.70285
177,5.82798
178,5.90498
179,6.09748
180,6.27073
181,6.30923
182,6.27073
183,6.24185
184,6.24185
185,6.24185
186,6.2226
187,6.20335
188,6.15523
189,6.11673
190,6.0686
191,6.0686
192,6.04935
193,6.0301
194,6.02048
195,5.9916
196,5.9531
197,5.90498
198,5.86648
199,5.8376
200,5.81835
201,5.78948
202,5.77023
203,5.75098
204,5.74135
205,5.73173
206,5.70285
207,5.69323
208,5.67398
209,5.65473
210,5.65473
211,5.77985
212,5.88573
213,6.0686
214,6.25148
215,6.28998
216,6.2611
217,6.2226
218,6.21298
219,6.2226
220,6.21298
221,6.21298
222,6.1841
223,6.13598
224,6.0686
225,6.0686
226,6.07823
227,6.0686
228,6.05898
229,6.04935
230,6.01085
231,5.97235
232,5.9531
233,5.92423
234,5.89535
235,5.86648
236,5.85685
237,5.82798
238,5.80873
239,5.80873
240,5.7991
241,5.78948
242,5.77985
243,5.7606
244,5.77023
245,5.7991
246,5.94348
247,6.02048
248,6.20335
249,6.3381
250,6.35735
251,6.31885
252,6.30923
253,6.30923
254,6.30923
255,6.30923
256,6.28998
257,6.24185
258,6.20335
259,6.1841
260,6.1841
261,6.17448
262,6.1456
263,6.11673
264,6.07823
265,6.03973
266,6.02048
267,5.9916
268,5.96273
269,5.93385
270,5.92423
271,5.90498
272,5.8761
273,5.85685
274,5.8376
275,5.82798
276,5.80873
277,5.9146
278,6.02048
279,6.15523
280,6.2996
281,6.34773
282,6.31885
283,6.27073
284,6.27073
285,6.27073
286,6.28035
287,6.28035
288,6.20335
289,6.16485
290,6.13598
291,6.13598
292,6.12635
293,6.09748
294,6.08785
295,6.0686
296,6.02048
297,5.98198
298,5.98198
299,5.98198
300,5.9531
301,5.93385
302,5.92423
303,5.9146
304,5.92423
305,5.9146
306,5.89535
307,5.8761
308,5.8761
