Samples,Amplitude(mV)
0,0.151465
1,0.148242
2,0.151465
3,0.148242
4,0.148242
5,0.141797
6,0.141797
7,0.141797
8,0.138574
9,0.138574
10,0.135352
11,0.132129
12,0.132129
13,0.132129
14,0.132129
15,0.132129
16,0.128906
17,0.132129
18,0.132129
19,0.132129
20,0.128906
21,0.125684
22,0.128906
23,0.128906
24,0.132129
25,0.135352
26,0.141797
27,0.148242
28,0.154687
29,0.161133
30,0.164355
31,0.174023
32,0.183691
33,0.190137
34,0.203027
35,0.209473
36,0.215918
37,0.225586
38,0.235254
39,0.244922
40,0.248145
41,0.251367
42,0.25459
43,0.261035
44,0.26748
45,0.26748
46,0.270703
47,0.273926
48,0.273926
49,0.277148
50,0.277148
51,0.277148
52,0.277148
53,0.280371
54,0.280371
55,0.277148
56,0.277148
57,0.283594
58,0.286816
59,0.283594
60,0.283594
61,0.280371
62,0.280371
63,0.283594
64,0.286816
65,0.286816
66,0.290039
67,0.286816
68,0.286816
69,0.286816
70,0.283594
71,0.286816
72,0.283594
73,0.286816
74,0.286816
75,0.286816
76,0.283594
77,0.286816
78,0.283594
79,0.280371
80,0.280371
81,0.280371
82,0.277148
83,0.277148
84,0.277148
85,0.277148
86,0.273926
87,0.270703
88,0.270703
89,0.270703
90,0.270703
91,0.26748
92,0.26748
93,0.264258
94,0.264258
95,0.261035
96,0.25459
97,0.257812
98,0.257812
99,0.25459
100,0.25459
101,0.25459
102,0.25459
103,0.25459
104,0.25459
105,0.251367
106,0.251367
107,0.251367
108,0.251367
109,0.248145
110,0.244922
111,0.241699
112,0.244922
113,0.244922
114,0.248145
115,0.248145
116,0.248145
117,0.248145
118,0.241699
119,0.241699
120,0.241699
121,0.241699
122,0.241699
123,0.241699
124,0.241699
125,0.241699
126,0.241699
127,0.238477
128,0.241699
129,0.238477
130,0.238477
131,0.241699
132,0.238477
133,0.241699
134,0.238477
135,0.235254
136,0.235254
137,0.235254
138,0.235254
139,0.235254
140,0.235254
141,0.235254
142,0.235254
143,0.232031
144,0.232031
145,0.232031
146,0.228809
147,0.228809
148,0.228809
149,0.228809
150,0.225586
151,0.225586
152,0.222363
153,0.225586
154,0.222363
155,0.219141
156,0.215918
157,0.212695
158,0.212695
159,0.209473
160,0.209473
161,0.209473
162,0.209473
163,0.203027
164,0.199805
165,0.199805
166,0.199805
167,0.199805
168,0.196582
169,0.193359
170,0.193359
171,0.190137
172,0.190137
